Gene Symbol	Description	Category	Gifts	GC Id	Relevance score	 GeneCards Link
MPO	Myeloperoxidase	Protein Coding	57	GC17M058269	29.01	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO
TGFB1	Transforming Growth Factor Beta 1	Protein Coding	60	GC19M041301	28.66	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGFB1
CD40LG	CD40 Ligand	Protein Coding	55	GC0XP136649	28.6	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40LG
ICAM1	Intercellular Adhesion Molecule 1	Protein Coding	57	GC19P010270	28.54	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ICAM1
PTPN22	Protein Tyrosine Phosphatase, Non-Receptor Type 22	Protein Coding	54	GC01M113813	28.52	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTPN22
IL10RB	Interleukin 10 Receptor Subunit Beta	Protein Coding	53	GC21P033266	28.48	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL10RB
IL17A	Interleukin 17A	Protein Coding	50	GC06P052186	27.92	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A
PLG	Plasminogen	Protein Coding	54	GC06P160702	27.88	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLG
NFKB1	Nuclear Factor Kappa B Subunit 1	Protein Coding	60	GC04P102501	27.82	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NFKB1
PTGS2	Prostaglandin-Endoperoxide Synthase 2	Protein Coding	55	GC01M186640	27.55	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS2
IRF5	Interferon Regulatory Factor 5	Protein Coding	55	GC07P128937	27.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF5
FAS	Fas Cell Surface Death Receptor	Protein Coding	57	GC10P088969	27.26	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FAS
IL4	Interleukin 4	Protein Coding	54	GC05P132673	26.54	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4
STAT4	Signal Transducer And Activator Of Transcription 4	Protein Coding	53	GC02M191029	26.15	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT4
SELE	Selectin E	Protein Coding	52	GC01M169722	26.01	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELE
RNASE3	Ribonuclease A Family Member 3	Protein Coding	45	GC14P020891	25.8	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RNASE3
ALB	Albumin	Protein Coding	57	GC04P073397	25.74	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB
LTA	Lymphotoxin Alpha	Protein Coding	49	GC06P032159	25.4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTA
MMP9	Matrix Metallopeptidase 9	Protein Coding	60	GC20P046008	25.38	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9
HLA-DPB1	Major Histocompatibility Complex, Class II, DP Beta 1	Protein Coding	49	GC06P033043	25.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DPB1
VCAM1	Vascular Cell Adhesion Molecule 1	Protein Coding	53	GC01P100719	25.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VCAM1
CCR5	C-C Motif Chemokine Receptor 5 (Gene/Pseudogene)	Protein Coding	53	GC03P046384	25.35	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR5
SERPINA1	Serpin Family A Member 1	Protein Coding	56	GC14M094376	25.3	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINA1
CD79A	CD79a Molecule	Protein Coding	54	GC19P041877	24.99	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD79A
MMP1	Matrix Metallopeptidase 1	Protein Coding	58	GC11M102810	24.91	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1
IL5	Interleukin 5	Protein Coding	52	GC05M132541	24.48	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5
CCL5	C-C Motif Chemokine Ligand 5	Protein Coding	49	GC17M035871	24.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL5
STAT3	Signal Transducer And Activator Of Transcription 3	Protein Coding	59	GC17M042313	24.22	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
HLA-DQB1	Major Histocompatibility Complex, Class II, DQ Beta 1	Protein Coding	49	GC06M032629	23.94	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQB1
IL18	Interleukin 18	Protein Coding	50	GC11M112143	23.53	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL18
EPX	Eosinophil Peroxidase	Protein Coding	48	GC17P058192	23.51	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPX
ABCB1	ATP Binding Cassette Subfamily B Member 1	Protein Coding	57	GC07M087504	23.47	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ABCB1
STAT1	Signal Transducer And Activator Of Transcription 1	Protein Coding	60	GC02M190964	23.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1
NLRP1	NLR Family Pyrin Domain Containing 1	Protein Coding	50	GC17M005499	23.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRP1
FOXP3	Forkhead Box P3	Protein Coding	54	GC0XM049250	23.1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FOXP3
CFTR	Cystic Fibrosis Transmembrane Conductance Regulator	Protein Coding	58	GC07P117465	22.39	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFTR
HMGB1	High Mobility Group Box 1	Protein Coding	50	GC13M030456	22.08	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMGB1
FASLG	Fas Ligand	Protein Coding	55	GC01P172628	22.01	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASLG
TLR2	Toll Like Receptor 2	Protein Coding	57	GC04P153684	21.71	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR2
C4A	Complement C4A (Rodgers Blood Group)	Protein Coding	47	GC06P032225	21.65	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C4A
TNFRSF1B	TNF Receptor Superfamily Member 1B	Protein Coding	54	GC01P012167	21.48	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF1B
IL1A	Interleukin 1 Alpha	Protein Coding	50	GC02M112773	21.39	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1A
IL2	Interleukin 2	Protein Coding	53	GC04M122451	21.34	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2
FLG	Filaggrin	Protein Coding	47	GC01M152274	21.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLG
MIF	Macrophage Migration Inhibitory Factor	Protein Coding	56	GC22P023894	21.24	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIF
CCR1	C-C Motif Chemokine Receptor 1	Protein Coding	52	GC03M046218	21.08	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR1
IL12A	Interleukin 12A	Protein Coding	52	GC03P159988	21.05	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12A
IL2RA	Interleukin 2 Receptor Subunit Alpha	Protein Coding	59	GC10M006010	20.98	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL2RA
TLR3	Toll Like Receptor 3	Protein Coding	58	GC04P186059	20.85	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR3
MVK	Mevalonate Kinase	Protein Coding	55	GC12P109573	20.71	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MVK
NOS2	Nitric Oxide Synthase 2	Protein Coding	55	GC17M027756	20.62	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOS2
IRGM	Immunity Related GTPase M	Protein Coding	43	GC05P150846	20.19	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRGM
ATG16L1	Autophagy Related 16 Like 1	Protein Coding	50	GC02P233215	20.13	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG16L1
PSTPIP1	Proline-Serine-Threonine Phosphatase Interacting Protein 1	Protein Coding	51	GC15P076993	20.05	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PSTPIP1
FCGR2A	Fc Fragment Of IgG Receptor IIa	Protein Coding	52	GC01P161505	20.05	https://www.genecards.org/cgi-bin/carddisp.pl?gene=FCGR2A
SAA1	Serum Amyloid A1	Protein Coding	49	GC11P018267	19.94	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAA1
NLRC4	NLR Family CARD Domain Containing 4	Protein Coding	50	GC02M032224	19.63	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NLRC4
BTNL2	Butyrophilin Like 2	Protein Coding	45	GC06M032359	19.47	https://www.genecards.org/cgi-bin/carddisp.pl?gene=BTNL2
TLR9	Toll Like Receptor 9	Protein Coding	53	GC03M052222	19.36	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR9
IL12B	Interleukin 12B	Protein Coding	50	GC05M159314	19.26	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12B
ALOX5	Arachidonate 5-Lipoxygenase	Protein Coding	53	GC10P045338	19.02	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALOX5
S100A9	S100 Calcium Binding Protein A9	Protein Coding	50	GC01P153357	18.66	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A9
F2	Coagulation Factor II, Thrombin	Protein Coding	55	GC11P046740	18.64	https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2
HLA-DQA1	Major Histocompatibility Complex, Class II, DQ Alpha 1	Protein Coding	48	GC06P032629	18.6	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HLA-DQA1
MST1	Macrophage Stimulating 1	Protein Coding	52	GC03M049683	18.34	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MST1
IL12RB1	Interleukin 12 Receptor Subunit Beta 1	Protein Coding	51	GC19M018030	18.29	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12RB1
CXCL10	C-X-C Motif Chemokine Ligand 10	Protein Coding	50	GC04M076021	18.28	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL10
DNASE1L3	Deoxyribonuclease 1 Like 3	Protein Coding	48	GC03M058192	18.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNASE1L3
PPARG	Peroxisome Proliferator Activated Receptor Gamma	Protein Coding	60	GC03P012328	18.07	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARG
IL1R1	Interleukin 1 Receptor Type 1	Protein Coding	52	GC02P102136	17.89	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1R1
MIR21	MicroRNA 21	RNA Gene	22	GC17P059841	17.86	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR21
ADIPOQ	Adiponectin, C1Q And Collagen Domain Containing	Protein Coding	52	GC03P186842	17.84	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ
CCL3	C-C Motif Chemokine Ligand 3	Protein Coding	45	GC17M036088	17.81	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCL3
CXCR3	C-X-C Motif Chemokine Receptor 3	Protein Coding	51	GC0XM071615	17.47	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCR3
CXCL1	C-X-C Motif Chemokine Ligand 1	Protein Coding	50	GC04P073869	17.46	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL1
C3	Complement C3	Protein Coding	55	GC19M006677	17.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C3
MUC1	Mucin 1, Cell Surface Associated	Protein Coding	54	GC01M155158	17.34	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC1
TSLP	Thymic Stromal Lymphopoietin	Protein Coding	45	GC05P111070	17.31	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TSLP
KNG1	Kininogen 1	Protein Coding	51	GC03P186717	17.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KNG1
TNFSF15	TNF Superfamily Member 15	Protein Coding	52	GC09M114784	17.09	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF15
IL21	Interleukin 21	Protein Coding	50	GC04M122612	16.92	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL21
SELL	Selectin L	Protein Coding	49	GC01M169659	16.8	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELL
LEP	Leptin	Protein Coding	55	GC07P128241	16.79	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LEP
CIITA	Class II Major Histocompatibility Complex Transactivator	Protein Coding	51	GC16P010879	16.71	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CIITA
MUC5B	Mucin 5B, Oligomeric Mucus/Gel-Forming	Protein Coding	47	GC11P001244	16.68	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC5B
CHI3L1	Chitinase 3 Like 1	Protein Coding	49	GC01M203148	16.59	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CHI3L1
VWF	Von Willebrand Factor	Protein Coding	55	GC12M005917	16.39	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VWF
CASP1	Caspase 1	Protein Coding	57	GC11M105025	16.37	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP1
VEGFA	Vascular Endothelial Growth Factor A	Protein Coding	57	GC06P043737	16.15	https://www.genecards.org/cgi-bin/carddisp.pl?gene=VEGFA
TNFAIP3	TNF Alpha Induced Protein 3	Protein Coding	55	GC06P137866	16.07	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFAIP3
MMP3	Matrix Metallopeptidase 3	Protein Coding	58	GC11M102835	16.01	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP3
CSF2	Colony Stimulating Factor 2	Protein Coding	50	GC05P132073	15.97	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CSF2
IL36RN	Interleukin 36 Receptor Antagonist	Protein Coding	47	GC02P113609	15.91	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL36RN
INS	Insulin	Protein Coding	54	GC11M002159	15.9	https://www.genecards.org/cgi-bin/carddisp.pl?gene=INS
SLC22A4	Solute Carrier Family 22 Member 4	Protein Coding	51	GC05P132294	15.81	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC22A4
ADA2	Adenosine Deaminase 2	Protein Coding	37	GC22M017179	15.79	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA2
THBD	Thrombomodulin	Protein Coding	50	GC20M023026	15.67	https://www.genecards.org/cgi-bin/carddisp.pl?gene=THBD
PTGS1	Prostaglandin-Endoperoxide Synthase 1	Protein Coding	54	GC09P122370	15.57	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS1
ERAP1	Endoplasmic Reticulum Aminopeptidase 1	Protein Coding	49	GC05M096760	15.51	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERAP1
ITGB2	Integrin Subunit Beta 2	Protein Coding	59	GC21M044885	15.48	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGB2
S100A8	S100 Calcium Binding Protein A8	Protein Coding	49	GC01M153391	15.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A8
HP	Haptoglobin	Protein Coding	50	GC16P072089	15.13	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HP
CXCL2	C-X-C Motif Chemokine Ligand 2	Protein Coding	47	GC04M074097	15.1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CXCL2
MIR155	MicroRNA 155	RNA Gene	18	GC21P025573	15.06	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR155
SELP	Selectin P	Protein Coding	54	GC01M169558	15.03	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SELP
MMP2	Matrix Metallopeptidase 2	Protein Coding	60	GC16P055424	15	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2
ANXA1	Annexin A1	Protein Coding	56	GC09P073151	14.83	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANXA1
DEFB4A	Defensin Beta 4A	Protein Coding	42	GC08P007895	14.82	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DEFB4A
TNFSF11	TNF Superfamily Member 11	Protein Coding	55	GC13P042562	14.79	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFSF11
RETN	Resistin	Protein Coding	49	GC19P007669	14.76	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RETN
CD40	CD40 Molecule	Protein Coding	55	GC20P046118	14.76	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD40
SPINK1	Serine Peptidase Inhibitor, Kazal Type 1	Protein Coding	50	GC05M147785	14.75	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINK1
TERT	Telomerase Reverse Transcriptase	Protein Coding	57	GC05M001253	14.56	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TERT
CTSG	Cathepsin G	Protein Coding	50	GC14M024573	14.47	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSG
APOH	Apolipoprotein H	Protein Coding	51	GC17M066212	14.46	https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOH
TIMP1	TIMP Metallopeptidase Inhibitor 1	Protein Coding	52	GC0XP047583	14.41	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP1
IL4R	Interleukin 4 Receptor	Protein Coding	54	GC16P027325	14.32	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL4R
IFIH1	Interferon Induced With Helicase C Domain 1	Protein Coding	55	GC02M162267	14.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFIH1
TREX1	Three Prime Repair Exonuclease 1	Protein Coding	49	GC03P048506	14.23	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TREX1
OTULIN	OTU Deubiquitinase With Linear Linkage Specificity	Protein Coding	40	GC05P014667	14.13	https://www.genecards.org/cgi-bin/carddisp.pl?gene=OTULIN
POLA1	DNA Polymerase Alpha 1, Catalytic Subunit	Protein Coding	53	GC0XP024712	14.12	https://www.genecards.org/cgi-bin/carddisp.pl?gene=POLA1
KLRC4	Killer Cell Lectin Like Receptor C4	Protein Coding	41	GC12M012102	14.1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLRC4
IL12A-AS1	IL12A Antisense RNA 1	RNA Gene	15	GC03M159913	14.1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL12A-AS1
DNASE1	Deoxyribonuclease 1	Protein Coding	47	GC16P003611	14.01	https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNASE1
UBAC2	UBA Domain Containing 2	Protein Coding	43	GC13P099200	13.98	https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBAC2
MBL2	Mannose Binding Lectin 2	Protein Coding	54	GC10M052760	13.95	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MBL2
IGHE	Immunoglobulin Heavy Constant Epsilon	Protein Coding	31	GC14M105729	13.93	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGHE
TNFRSF11B	TNF Receptor Superfamily Member 11b	Protein Coding	54	GC08M118923	13.92	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF11B
IRF1	Interferon Regulatory Factor 1	Protein Coding	54	GC05M132481	13.89	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF1
TTR	Transthyretin	Protein Coding	57	GC18P031591	13.71	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TTR
C1S	Complement C1s	Protein Coding	53	GC12P007509	13.7	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1S
TRPV1	Transient Receptor Potential Cation Channel Subfamily V Member 1	Protein Coding	53	GC17M003565	13.68	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TRPV1
RELA	RELA Proto-Oncogene, NF-KB Subunit	Protein Coding	56	GC11M065671	13.65	https://www.genecards.org/cgi-bin/carddisp.pl?gene=RELA
APOE	Apolipoprotein E	Protein Coding	58	GC19P044906	13.62	https://www.genecards.org/cgi-bin/carddisp.pl?gene=APOE
F5	Coagulation Factor V	Protein Coding	52	GC01M169481	13.62	https://www.genecards.org/cgi-bin/carddisp.pl?gene=F5
CR2	Complement C3d Receptor 2	Protein Coding	51	GC01P207454	13.55	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CR2
CP	Ceruloplasmin	Protein Coding	54	GC03M149162	13.53	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CP
SERPINE1	Serpin Family E Member 1	Protein Coding	57	GC07P101127	13.4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINE1
PDCD1	Programmed Cell Death 1	Protein Coding	53	GC02M241849	13.4	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDCD1
TNFRSF13C	TNF Receptor Superfamily Member 13C	Protein Coding	52	GC22M042336	13.39	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNFRSF13C
NR3C1	Nuclear Receptor Subfamily 3 Group C Member 1	Protein Coding	58	GC05M143241	13.39	https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR3C1
F2RL1	F2R Like Trypsin Receptor 1	Protein Coding	53	GC05P076818	13.39	https://www.genecards.org/cgi-bin/carddisp.pl?gene=F2RL1
ITGAM	Integrin Subunit Alpha M	Protein Coding	53	GC16P031272	13.36	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAM
TEK	TEK Receptor Tyrosine Kinase	Protein Coding	57	GC09P027109	13.34	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TEK
CCR3	C-C Motif Chemokine Receptor 3	Protein Coding	54	GC03P046227	13.27	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCR3
ADA	Adenosine Deaminase	Protein Coding	57	GC20M044620	13.25	https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADA
MIR146A	MicroRNA 146a	RNA Gene	22	GC05P160485	13.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR146A
TF	Transferrin	Protein Coding	56	GC03P133663	13.21	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TF
TAC1	Tachykinin Precursor 1	Protein Coding	50	GC07P097731	13.2	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TAC1
TP53	Tumor Protein P53	Protein Coding	62	GC17M007661	13.14	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
GPT	Glutamic--Pyruvic Transaminase	Protein Coding	48	GC08P144502	13.1	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPT
SCGB1A1	Secretoglobin Family 1A Member 1	Protein Coding	47	GC11P062437	13.03	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCGB1A1
LTF	Lactotransferrin	Protein Coding	49	GC03M046435	13.03	https://www.genecards.org/cgi-bin/carddisp.pl?gene=LTF
IFNA1	Interferon Alpha 1	Protein Coding	46	GC09P021452	13.02	https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNA1
HMOX1	Heme Oxygenase 1	Protein Coding	59	GC22P035380	13	https://www.genecards.org/cgi-bin/carddisp.pl?gene=HMOX1
S100A12	S100 Calcium Binding Protein A12	Protein Coding	47	GC01M153346	12.98	https://www.genecards.org/cgi-bin/carddisp.pl?gene=S100A12
C1R	Complement C1r	Protein Coding	53	GC12M007081	12.94	https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1R
TCF4	Transcription Factor 4	Protein Coding	53	GC18M055222	12.94	https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCF4
SFTPC	Surfactant Protein C	Protein Coding	48	GC08P022156	12.86	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SFTPC
EPCAM	Epithelial Cell Adhesion Molecule	Protein Coding	53	GC02P047345	12.84	https://www.genecards.org/cgi-bin/carddisp.pl?gene=EPCAM
SERPINC1	Serpin Family C Member 1	Protein Coding	55	GC01M174037	12.84	https://www.genecards.org/cgi-bin/carddisp.pl?gene=SERPINC1
PPARA	Peroxisome Proliferator Activated Receptor Alpha	Protein Coding	52	GC22P046150	12.84	https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPARA
CYBB	Cytochrome B-245 Beta Chain	Protein Coding	52	GC0XP037780	12.83	https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYBB
GPR35	G Protein-Coupled Receptor 35	Protein Coding	49	GC02P240605	12.79	https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPR35
MYD88	Myeloid Differentiation Primary Response 88	Protein Coding	57	GC03P038179	12.76	https://www.genecards.org/cgi-bin/carddisp.pl?gene=MYD88
