hgnc_symbol	entrezgene	ensembl_gene_id	logFC_LC	PValue_LC
IDS	3423	ENSG00000010404	-0.31590439	0.373170838
IFFO1	25900	ENSG00000010295	-0.961312853	0.017266063
IFNGR1	3459	ENSG00000027697	-0.802435847	0.237147186
IFRD1	3475	ENSG00000006652	0.799426923	0.05676129
IFT88	8100	ENSG00000032742	-0.352837324	0.450996584
IGF1	3479	ENSG00000017427	0.464973305	0.525530922
IKZF2	22807	ENSG00000030419	1.03122212	0.096253602
IL20RA	53832	ENSG00000016402	-2.565879332	0.000490381
IL32	9235	ENSG00000008517	-0.454514682	0.461524908
INSRR	3645	ENSG00000027644	5.577138183	0.000748751
ISL1	3670	ENSG00000016082	7.457548847	0.001190857
ITGA2B	3674	ENSG00000005961	-1.89708879	0.005572649
ITGA3	3675	ENSG00000005884	-0.996848825	0.024545575
ITGAL	3683	ENSG00000005844	-1.867673882	0.000113644
IYD	389434	ENSG00000009765	0.866500745	0.384343139
JARID2	3720	ENSG00000008083	0.239645423	0.597693657
KCNG1	3755	ENSG00000026559	5.748508139	0.004656041
KDM1A	23028	ENSG00000004487	0.725045608	0.111176233
KDM5D	8284	ENSG00000012817	0.31429191	0.562699296
KDM7A	80853	ENSG00000006459	0.272851401	0.41970872
KIAA0100	9703	ENSG00000007202	-0.316225689	0.401373627
KLHL13	90293	ENSG00000003096	0.61355714	0.468487419
KMT2E	55904	ENSG00000005483	-0.307035553	0.348901895
KPNA6	23633	ENSG00000025800	-0.469800511	0.125953749
KRIT1	889	ENSG00000001631	0.269402118	0.375839754
KRT33A	3883	ENSG00000006059	0	1
LAMP2	3920	ENSG00000005893	0.204322571	0.711791689
LAP3	51056	ENSG00000002549	-0.585468519	0.144480231
LARS2	23395	ENSG00000011376	0.029741427	0.936892953
LAS1L	81887	ENSG00000001497	-0.050401351	0.890905034
LASP1	3927	ENSG00000002834	-0.430625991	0.309788139
LGALS14	56891	ENSG00000006659	1.426593501	0.294542368
LIG3	3980	ENSG00000005156	0.560776464	0.104674666
LRRC23	10233	ENSG00000010626	0.184040765	0.838459233
LTF	4057	ENSG00000012223	2.39980783	0.043797057
LUC7L	55692	ENSG00000007392	1.137469185	0.005768271
LYPLA2	11313	ENSG00000011009	0.558752244	0.281866598
M6PR	4074	ENSG00000003056	-0.893917867	0.043933056
MAD1L1	8379	ENSG00000002822	-0.43158666	0.233652341
MAMLD1	10046	ENSG00000013619	-0.702431603	0.164509288
MAN2B2	23324	ENSG00000013288	-1.428108176	0.00063255
MAP3K14	9020	ENSG00000006062	-0.492989968	0.309314546
MAP3K9	4293	ENSG00000006432	0.417047301	0.441383444
MAP4K3	8491	ENSG00000011566	0.339463762	0.390923507
MAP4K5	11183	ENSG00000012983	-0.106745956	0.752259517
MAPK8IP2	23542	ENSG00000008735	2.171840444	0.034159774
MARCO	8685	ENSG00000019169	-4.243996522	6.5e-06
MARK4	57787	ENSG00000007047	-0.037676166	0.932279519
MASP2	10747	ENSG00000009724	0.288378762	0.704966692
MATK	4145	ENSG00000007264	-1.424413396	0.038729024
MATR3	9782	ENSG00000015479	1.876756181	0.02308635
MBTD1	54799	ENSG00000011258	0.605874964	0.119981888
MBTPS2	51360	ENSG00000012174	0.172395618	0.601912157
MCUB	55013	ENSG00000005059	0.830176687	0.163335422
MDH1	4190	ENSG00000014641	-0.135104928	0.743953933
MED24	9862	ENSG00000008838	-0.525096071	0.306334178
MEOX1	4222	ENSG00000005102	0.411181328	0.647644586
MGST1	4257	ENSG00000008394	-0.041298754	0.941355694
MIPEP	4285	ENSG00000027001	-0.1651345	0.714308994
MKS1	54903	ENSG00000011143	0.554566042	0.253176267
MLXIPL	51085	ENSG00000009950	-0.997971175	0.187023336
MMP25	64386	ENSG00000008516	-0.373701907	0.522066833
MNAT1	4331	ENSG00000020426	0.358665998	0.299292727
MPND	84954	ENSG00000008382	-0.76398513	0.148309887
MPO	4353	ENSG00000005381	-0.699224062	0.40382281
MRC2	9902	ENSG00000011028	-1.119733943	0.051951446
MRE11	4361	ENSG00000020922	0.573437866	0.084899761
MSL3	10943	ENSG00000005302	-0.165038816	0.575565571
MTMR11	10903	ENSG00000014914	1.120566042	0.063600279
MTMR7	9108	ENSG00000003987	1.149642474	0.060127201
MUSK	4593	ENSG00000030304	-2.780016936	0.00418787
MVP	9961	ENSG00000013364	-0.227812734	0.662308125
MYCBP2	23077	ENSG00000005810	-0.11604012	0.795386685
MYH13	8735	ENSG00000006788	3.104134874	0.023792839
MYLIP	29116	ENSG00000007944	-1.108733097	0.010427546
NADK	65220	ENSG00000008130	-0.046948341	0.905404589
NCAPD2	9918	ENSG00000010292	0.42802604	0.353049452
NCAPH2	29781	ENSG00000025770	-0.15632177	0.743564266
NCDN	23154	ENSG00000020129	-0.375783773	0.412823998
NDUFAB1	4706	ENSG00000004779	0.75179989	0.142237992
NDUFAF7	55471	ENSG00000003509	0.560791253	0.122514479
NDUFS1	4719	ENSG00000023228	0.092448398	0.76448424
NFIX	4784	ENSG00000008441	-1.881197565	0.001029213
NFYA	4800	ENSG00000001167	0.49282854	0.136903503
NIPAL3	57185	ENSG00000001461	-0.769729113	0.021633855
NISCH	11188	ENSG00000010322	-0.637833018	0.171876856
NLRP2	55655	ENSG00000022556	0.662025484	0.423740694
NME1-NME2	654364	ENSG00000011052	1.096547855	0.141598811
NOS2	4843	ENSG00000007171	-0.64323593	0.457910752
NOX1	27035	ENSG00000007952	0.828223869	0.232785154
NPC1L1	29881	ENSG00000015520	3.622670745	0.014832644
NR1H3	10062	ENSG00000025434	-0.453798759	0.303832646
NR1H4	9971	ENSG00000012504	1.092519558	0.415069683
NRXN3	9369	ENSG00000021645	-1.759021509	0.008175479
NUB1	51667	ENSG00000013374	0.010895522	0.975203417
NUDCD3	23386	ENSG00000015676	-0.382376604	0.286127053
NUP160	23279	ENSG00000030066	0.218824254	0.474100806
OSBPL5	114879	ENSG00000021762	-0.608445249	0.177961506
OSBPL7	114881	ENSG00000006025	0.281378968	0.560391263
PAF1	54623	ENSG00000006712	-0.487430165	0.271472461
PAFAH1B1	5048	ENSG00000007168	-0.763982557	0.025467401
PAX6	5080	ENSG00000007372	-0.402763608	0.475573275
PAX7	5081	ENSG00000009709	8.528808535	0.000423493
PDK2	5164	ENSG00000005882	-0.924758932	0.048235625
PDK4	5166	ENSG00000004799	-3.984411126	8.48e-05
PGLYRP1	8993	ENSG00000008438	-0.459178874	0.677282377
PGM3	5238	ENSG00000013375	0.197418603	0.500390068
PHF20	51230	ENSG00000025293	-0.499663844	0.153304643
PHF7	51533	ENSG00000010318	0.076313642	0.870011987
PHLDB1	23187	ENSG00000019144	-0.288299859	0.398634137
PHTF2	57157	ENSG00000006576	0.861934663	0.036350217
PIGQ	9091	ENSG00000007541	-0.249030582	0.654432918
PIK3C2A	5286	ENSG00000011405	-0.353611546	0.335412276
PKD1	5310	ENSG00000008710	0.257455159	0.643604516
PLAUR	5329	ENSG00000011422	0.941888951	0.212715577
PLEKHB1	58473	ENSG00000021300	-0.921543537	0.185394955
PLEKHG6	55200	ENSG00000008323	0.238662888	0.734078534
PLEKHO1	51177	ENSG00000023902	-0.126473831	0.793798606
PLXND1	23129	ENSG00000004399	-0.963600261	0.034180703
PNPLA4	8228	ENSG00000006757	-0.385364226	0.355207563
PNPLA6	10908	ENSG00000032444	-1.769906646	0.003185339
POLA2	23649	ENSG00000014138	0.586186283	0.170363831
POLDIP2	26073	ENSG00000004142	0.170603619	0.709697395
POLR2J	5439	ENSG00000005075	0.684530956	0.263402393
POLR3B	55703	ENSG00000013503	-0.319394269	0.335408179
POMT2	29954	ENSG00000009830	0.247534794	0.542695953
PON1	5444	ENSG00000005421	0.983585518	0.364190817
POU2F2	5452	ENSG00000028277	0.59274289	0.296456293
PPP5C	5536	ENSG00000011485	-0.042641552	0.920097021
PRDM11	56981	ENSG00000019485	-1.475475744	0.007346581
PRICKLE3	4007	ENSG00000012211	-0.023293674	0.959755338
PRKAR2B	5577	ENSG00000005249	-0.745836915	0.162671092
PRKCH	5583	ENSG00000027075	-1.584678882	0.000248688
PROM1	8842	ENSG00000007062	0.646198715	0.612486267
PRSS21	10942	ENSG00000007038	-0.880036471	0.43488992
PRSS22	64063	ENSG00000005001	1.070844618	0.202230602
PRSS3	5646	ENSG00000010438	4.781059461	0.001412947
PSMB1	5689	ENSG00000008018	0.599794839	0.337689548
PSMC4	5704	ENSG00000013275	0.166183991	0.715426949
PTBP1	5725	ENSG00000011304	0.138464417	0.751118059
QPCTL	54814	ENSG00000011478	0.892617426	0.109826447
RABEP1	9135	ENSG00000029725	-0.610949826	0.066303154
RABGAP1	23637	ENSG00000011454	-0.813779871	0.014440086
RABGAP1	2844	ENSG00000011454	-0.813779871	0.014440086
RAD52	5893	ENSG00000002016	0.54994491	0.188352208
RALA	5898	ENSG00000006451	-0.388137473	0.38622456
RALBP1	10928	ENSG00000017797	-0.616634531	0.086448768
RANBP3	8498	ENSG00000031823	-0.393938355	0.329751218
RANBP9	10048	ENSG00000010017	0.12931435	0.677996952
RB1CC1	9821	ENSG00000023287	0.103567538	0.773176623
RBM5	10181	ENSG00000003756	0.174565603	0.634722383
RBM6	10180	ENSG00000004534	0.289886104	0.431477564
RECQL	5965	ENSG00000004700	0.286547058	0.58543059
REV3L	5980	ENSG00000009413	-0.221211537	0.659916073
REX1BD	55049	ENSG00000006015	0.389223432	0.483226124
REXO5	81691	ENSG00000005189	1.837902198	0.009806952
RGPD5	84220	ENSG00000015568	0.81172436	0.454202222
RHBDD2	57414	ENSG00000005486	-1.160531373	0.029998424
RHBDF1	64285	ENSG00000007384	-0.166569641	0.721739624
RHOBTB2	23221	ENSG00000008853	-1.641351002	0.016511307
RNASET2	8635	ENSG00000026297	-0.397982096	0.289849956
RNF10	9921	ENSG00000022840	-0.710446673	0.054897999
RNF14	9604	ENSG00000013561	-0.644785758	0.043264546
RNF216	54476	ENSG00000011275	0.007728679	0.982386345
RNH1	6050	ENSG00000023191	-1.151236433	0.028697122
RPAP3	79657	ENSG00000005175	0.374147266	0.254587952
RPS20	6224	ENSG00000008988	-0.12333658	0.824841276
RPUSD1	113000	ENSG00000007376	1.179949602	0.076281495
RRAGD	58528	ENSG00000025039	-1.264293984	0.0110285
RTF2	51507	ENSG00000022277	-0.32328205	0.446241682
RUFY3	22902	ENSG00000018189	0.296101556	0.455183
RUNX3	864	ENSG00000020633	-0.778611423	0.117839828
RWDD2A	112611	ENSG00000013392	-0.365204577	0.349066414
SAMD4A	23034	ENSG00000020577	-1.017173734	0.057740145
SARM1	23098	ENSG00000004139	0.224807081	0.698651187
SARS	6301	ENSG00000031698	-0.720783777	0.079954574
SCIN	85477	ENSG00000006747	-0.301541888	0.671739551
SCMH1	22955	ENSG00000010803	-0.360898892	0.247692919
SCN4A	6329	ENSG00000007314	4.71951741	0.000932236
SCYL3	57147	ENSG00000000457	0.054446204	0.891635248
SEC62	7095	ENSG00000008952	-0.765582199	0.031194947
SEC63	11231	ENSG00000025796	-0.454304743	0.160236674
SELE	6401	ENSG00000007908	0.26297487	0.82614642
SEMA3B	7869	ENSG00000012171	-1.124422687	0.232463342
SEMA3F	6405	ENSG00000001617	-0.464961033	0.372696417
SEMA3G	56920	ENSG00000010319	-3.924865346	3.19e-05
SERPINB1	1992	ENSG00000021355	-0.486972237	0.408488628
SH2D2A	9047	ENSG00000027869	1.405127944	0.058532717
SKAP2	8935	ENSG00000005020	-0.278161977	0.477503837
SLAMF7	57823	ENSG00000026751	1.071174188	0.049254195
SLC11A1	6556	ENSG00000018280	-2.248141317	0.000348316
SLC13A2	9058	ENSG00000007216	-1.521077905	0.173503955
SLC22A16	85413	ENSG00000004809	1.092816808	0.355094518
SLC25A13	10165	ENSG00000004864	0.606341899	0.125584011
SLC25A39	51629	ENSG00000013306	0.955544104	0.112045198
SLC25A5	292	ENSG00000005022	0.007711406	0.98843539
SLC30A9	10463	ENSG00000014824	-0.072129711	0.821145289
SLC38A5	92745	ENSG00000017483	-1.193447073	0.032113039
SLC39A9	55334	ENSG00000029364	-0.304775559	0.284795505
SLC45A4	57210	ENSG00000022567	0.073696782	0.85911249
SLC4A1	6521	ENSG00000004939	-4.47737494	0.00031788
SLC6A13	6540	ENSG00000010379	-3.179363116	0.00090489
SLC6A7	6534	ENSG00000011083	1.062885042	0.294085421
SLC7A14	57709	ENSG00000013293	4.159442998	0.037676751
SLC7A2	6542	ENSG00000003989	0.574336604	0.46835043
SLC7A9	11136	ENSG00000021488	5.031757238	0.003578587
SNAI2	6591	ENSG00000019549	0.600353322	0.382305888
SNAPC1	6617	ENSG00000023608	0.204695649	0.675828176
SNX1	6642	ENSG00000028528	-1.247816219	0.001216406
SNX11	29916	ENSG00000002919	-0.317641425	0.484425835
SOX8	30812	ENSG00000005513	-0.006453312	0.992286335
SPAG9	9043	ENSG00000008294	-0.584994336	0.094215182
SPAST	6683	ENSG00000021574	0.31553386	0.314670453
SPATA20	64847	ENSG00000006282	-0.006283619	0.989149722
SPPL2B	56928	ENSG00000005206	0.990144509	0.134511476
SPRTN	83932	ENSG00000010072	0.393727322	0.276128737
SS18L2	51188	ENSG00000008324	0.359902235	0.47198939
ST3GAL1	6482	ENSG00000008513	-1.112035676	0.039108677
ST7	93655	ENSG00000004866	-1.484028749	0.000251542
ST7	7982	ENSG00000004866	-1.484028749	0.000251542
ST7L	54879	ENSG00000007341	0.182794067	0.627695134
STAB1	23166	ENSG00000010327	0.248605031	0.644257162
STARD3NL	83930	ENSG00000010270	-0.300997588	0.497864605
STMN4	81551	ENSG00000015592	0.584545635	0.63171892
STPG1	90529	ENSG00000001460	-0.006652761	0.988682167
STRAP	11171	ENSG00000023734	-0.070725793	0.85658481
SYN1	6853	ENSG00000008056	1.509736663	0.120157033
SYPL1	6856	ENSG00000008282	-0.134967769	0.76708697
SYT13	57586	ENSG00000019505	4.114132964	0.053057323
SYT7	9066	ENSG00000011347	3.782355499	5.21e-05
TAC1	6863	ENSG00000006128	-1.97426711	0.155852758
TACC3	10460	ENSG00000013810	1.064356987	0.031062277
TBPL1	9519	ENSG00000028839	0.445736275	0.338228788
TBXA2R	6915	ENSG00000006638	-1.070218512	0.077645559
TEAD3	7005	ENSG00000007866	-0.654804689	0.228806062
TENM1	10178	ENSG00000009694	1.878873654	0.025356996
TFAP2B	7021	ENSG00000008196	0.698586692	0.572053274
TFAP2D	83741	ENSG00000008197	2.898840468	0.0189658
TFB1M	51106	ENSG00000029639	0.394641921	0.359658326
TFPI	7035	ENSG00000003436	-0.832408995	0.230928259
THSD7A	221981	ENSG00000005108	-0.987980377	0.041570302
TKTL1	8277	ENSG00000007350	-3.85696038	0.00261876
TMEM132A	54972	ENSG00000006118	1.673637579	0.017709352
TMEM159	57146	ENSG00000011638	0.222627906	0.657284207
TMEM176A	55365	ENSG00000002933	1.619925391	0.060418552
TMEM98	26022	ENSG00000006042	-0.899584046	0.092949372
TNFRSF12A	51330	ENSG00000006327	0.53569684	0.521100641
TNFRSF1B	7133	ENSG00000028137	-0.760447301	0.124710633
TNMD	64102	ENSG00000000005	1.601534394	0.171398244
TOMM34	10953	ENSG00000025772	0.215623568	0.628743932
TRAF3IP3	80342	ENSG00000009790	0.420369356	0.308613772
TRAPPC6A	79090	ENSG00000007255	-0.050361919	0.942149512
TSPAN6	7105	ENSG00000000003	1.210920331	0.030285815
TSPAN9	10867	ENSG00000011105	-1.090039971	0.052044903
TSPOAP1	9256	ENSG00000005379	0.078772693	0.916153351
TSR3	115939	ENSG00000007520	0.157678695	0.754337095
TTC19	54902	ENSG00000011295	-0.491605177	0.120837343
TTC22	55001	ENSG00000006555	0.147292511	0.833539398
TTC27	55622	ENSG00000018699	0.278207976	0.425140093
TYMP	1890	ENSG00000025708	0.100191066	0.849314445
TYROBP	7305	ENSG00000011600	-1.245252098	0.123360231
UBE3C	9690	ENSG00000009335	-0.138958758	0.647962218
UBR2	23304	ENSG00000024048	-0.321482767	0.338667506
