GeneID	GeneName	logFC	logCPM	F	PValue	FDR
ENSG00000004766	VPS50	-0.049047122	4.718033651	0.014227666	0.907109819	0.943038737
ENSG00000004776	HSPB6	-5.139159383	7.54396256	20.64457308	0.000747705	0.009010633
ENSG00000004777	ARHGAP33	1.517393515	2.793538374	7.148098508	0.020914521	0.071112094
ENSG00000004779	NDUFAB1	0.957197388	5.822804345	9.442927485	0.010097406	0.044504963
ENSG00000004799	PDK4	-4.829399456	9.11582985	28.73518929	0.000196811	0.003988088
ENSG00000004809	SLC22A16	1.181845975	-1.548394551	1.474826828	0.24890917	0.390871973
ENSG00000004838	ZMYND10	3.529843825	3.085166834	10.73803139	0.006965676	0.03542294
ENSG00000004846	ABCB5	-5.939854322	1.787570951	28.1638763	0.000214196	0.004186564
ENSG00000004848	ARX	4.874820809	-1.477769098	6.750020719	0.023990023	0.077688714
ENSG00000004864	SLC25A13	0.164105246	4.226637576	0.452843776	0.514269099	0.649284011
ENSG00000004866	ST7	-0.370531985	5.005001871	1.27706079	0.281441643	0.427671601
ENSG00000004897	CDC27	-0.25356885	6.183029308	0.548564549	0.473741046	0.614356253
ENSG00000004939	SLC4A1	-4.337365457	-1.089545922	15.53642916	0.002115408	0.016758556
ENSG00000004948	CALCR	-2.143159392	-0.237201932	3.159777947	0.101871776	0.208249662
ENSG00000004961	HCCS	0.102599359	4.263568331	0.089159529	0.770569299	0.848996298
ENSG00000004975	DVL2	0.086255406	4.618008215	0.085612286	0.775037562	0.852248331
ENSG00000005001	PRSS22	3.854012887	3.023774633	14.20613419	0.002871692	0.020154013
ENSG00000005007	UPF1	0.584820153	6.816237373	3.874171826	0.073587441	0.166570491
ENSG00000005020	SKAP2	-2.755652988	5.510493459	23.90281997	0.000420448	0.006304169
ENSG00000005022	SLC25A5	0.487514183	7.678813614	3.670359695	0.080547471	0.176978248
ENSG00000005059	MCUB	-0.568941687	4.496392671	0.710039329	0.416593935	0.562242634
ENSG00000005073	HOXA11	3.757722427	2.772242082	4.653206653	0.05290611	0.13250644
ENSG00000005075	POLR2J	1.597425139	5.194739725	13.42149369	0.003467205	0.022577466
ENSG00000005100	DHX33	0.584879306	4.626924894	2.678208092	0.128752722	0.245217305
ENSG00000005102	MEOX1	-5.960292311	4.858639995	41.7666724	3.77E-05	0.001560793
ENSG00000005108	THSD7A	-3.883852424	3.351878222	37.06612244	6.49E-05	0.002118245
ENSG00000005156	LIG3	1.50546046	5.109808727	11.86485633	0.005141002	0.029120565
ENSG00000005175	RPAP3	0.535947693	4.793794113	2.999052442	0.109990888	0.219528956
ENSG00000005187	ACSM3	-0.90311112	1.808699036	1.235023172	0.289103061	0.435831546
ENSG00000005189	REXO5	0.640294458	2.844424657	2.289346796	0.157222987	0.282407436
ENSG00000005194	CIAPIN1	0.130360869	4.992247519	0.221397497	0.646766314	0.757199541
ENSG00000005206	SPPL2B	1.00198352	4.843338008	8.986696718	0.011580991	0.048400946
ENSG00000005238	FAM214B	-0.958388805	4.309620634	5.155328455	0.043266067	0.115586549
ENSG00000005243	COPZ2	-2.5017488	4.88326904	19.02381653	0.001019145	0.010786973
ENSG00000005249	PRKAR2B	-4.120750763	8.231456644	24.44464963	0.000384136	0.006007445
ENSG00000005302	MSL3	-0.816529834	4.499317208	8.106389782	0.015243987	0.057905603
ENSG00000005339	CREBBP	-0.25057172	6.746899986	0.741125598	0.406873313	0.552987174
ENSG00000005379	TSPOAP1	1.232783241	3.91970281	2.599587942	0.133948179	0.252332856
ENSG00000005381	MPO	-1.622458834	-1.646836595	3.15101528	0.102294888	0.20887283
ENSG00000005421	PON1	2.157300002	-2.74464659	3.48139826	0.087733264	0.188037878
ENSG00000005436	GCFC2	-0.258809544	4.566440447	0.681456395	0.42586175	0.570546975
ENSG00000005448	WDR54	1.869810659	3.71638162	13.84233956	0.003131408	0.021194653
ENSG00000005469	CROT	0.099532522	4.062304965	0.023534616	0.880731137	0.925275926
ENSG00000005471	ABCB4	0.670468459	1.054415129	0.539202736	0.477453678	0.617418524
ENSG00000005483	KMT2E	-0.35904204	6.479020062	0.536481843	0.478542145	0.618413801
ENSG00000005486	RHBDD2	1.699263195	6.660184478	24.76314968	0.000364514	0.005882904
ENSG00000005513	SOX8	-1.827178361	0.62751648	4.538214091	0.055467106	0.137019103
ENSG00000005700	IBTK	-0.049041809	6.011460827	0.020518777	0.888574272	0.930713584
ENSG00000005801	ZNF195	1.136957435	4.534739343	8.656843876	0.012816025	0.051709566
ENSG00000005810	MYCBP2	-2.965463744	7.081490299	38.44484258	5.50E-05	0.001932078
ENSG00000005812	FBXL3	-0.900541001	6.203481285	3.682943234	0.08009505	0.17641891
ENSG00000005844	ITGAL	0.033481793	3.759015235	0.004196395	0.949460737	0.969609155
ENSG00000005882	PDK2	-1.562284502	5.675285922	4.974585751	0.046470549	0.121309021
ENSG00000005884	ITGA3	0.89208853	6.413171262	1.977848209	0.186032245	0.317918667
ENSG00000005889	ZFX	-0.344876313	5.733874613	0.666850232	0.430726223	0.575162339
ENSG00000005893	LAMP2	0.178218231	7.703436956	0.371625294	0.553961072	0.682649895
ENSG00000005961	ITGA2B	0.230860174	-0.27507346	0.144043428	0.711201938	0.805819942
ENSG00000005981	ASB4	-2.051340525	-1.979851725	4.956455434	0.046807523	0.121905512
ENSG00000006007	GDE1	0.28817657	6.702998032	0.607788855	0.451351757	0.594041956
ENSG00000006015	REX1BD	1.216437731	3.89276846	6.439981746	0.02676417	0.083543001
ENSG00000006016	CRLF1	-1.255795421	1.58011934	4.334639504	0.060379366	0.145257265
ENSG00000006025	OSBPL7	0.970681166	3.1512756	3.775929338	0.076846484	0.17148279
ENSG00000006042	TMEM98	0.275851989	5.714147471	0.192345891	0.669088298	0.77489382
ENSG00000006047	YBX2	-0.348350804	2.935143189	0.166997891	0.690292733	0.790893782
ENSG00000006059	KRT33A	3.654372079	-2.836799272	5.627116706	0.036074981	0.102288654
ENSG00000006062	MAP3K14	-1.097495035	3.546305395	7.863052455	0.016489384	0.060854216
ENSG00000006071	ABCC8	2.696375165	2.323631835	4.977869125	0.046409836	0.121221551
ENSG00000006118	TMEM132A	4.332831581	6.261697561	37.71704543	6.00E-05	0.002017302
ENSG00000006125	AP2B1	0.374642581	8.198382133	1.084079314	0.319159683	0.466936282
ENSG00000006128	TAC1	-0.23332488	-1.479701379	0.025610591	0.875628524	0.921979186
ENSG00000006194	ZNF263	0.669659717	5.034812654	6.494569447	0.026249016	0.082340386
ENSG00000006210	CX3CL1	-2.106724135	6.253660476	6.095468493	0.030309338	0.090911134
ENSG00000006282	SPATA20	0.87533267	5.753156406	2.341956078	0.152934716	0.27695824
ENSG00000006283	CACNA1G	-1.887556833	-0.20522776	7.658085824	0.017633141	0.063628051
ENSG00000006327	TNFRSF12A	2.571589383	5.398590878	6.214987764	0.029019204	0.088141364
ENSG00000006377	DLX6	-0.0447507	-2.657446804	0.001417883	0.970607982	0.981577188
ENSG00000006432	MAP3K9	1.57918427	3.09234485	2.919340006	0.114315276	0.225358411
ENSG00000006451	RALA	-0.056796847	6.263849508	0.037657801	0.849513827	0.903610039
ENSG00000006453	BAIAP2L1	2.511659897	5.082697359	19.08234065	0.001007509	0.010714262
ENSG00000006459	KDM7A	-1.737394173	4.934792225	16.45505777	0.001728933	0.014873997
ENSG00000006468	ETV1	-1.79781199	3.426103067	9.571691039	0.009720226	0.043510041
ENSG00000006530	AGK	0.191283073	4.657859628	0.472425107	0.505484964	0.642015499
ENSG00000006534	ALDH3B1	-0.5001358	3.75464446	0.886548665	0.365753103	0.514025207
ENSG00000006555	TTC22	2.501079851	3.353073121	3.899713091	0.072767942	0.165305711
ENSG00000006576	PHTF2	0.573298265	4.990552469	1.49340933	0.246120431	0.387972998
ENSG00000006606	CCL26	-1.949659488	-1.313064795	7.381105903	0.019332373	0.067570388
ENSG00000006607	FARP2	-0.312056732	4.582809049	1.046562268	0.327317075	0.475282207
ENSG00000006611	USH1C	1.777657005	-3.173984319	1.995436256	0.184232891	0.315726657
ENSG00000006625	GGCT	1.902750983	5.945625629	21.08696474	0.000689063	0.008556872
ENSG00000006634	DBF4	1.328417233	3.204296514	8.384293488	0.01395577	0.054554375
ENSG00000006638	TBXA2R	-0.184687139	1.501903426	0.096555864	0.761556427	0.842465721
ENSG00000006652	IFRD1	-0.773918454	4.769140002	2.015792871	0.182178296	0.313295979
ENSG00000006695	COX10	-0.243250829	3.764136378	0.571710571	0.464771456	0.606282276
ENSG00000006704	GTF2IRD1	1.929418794	4.603031086	44.67239656	2.76E-05	0.001312321
ENSG00000006712	PAF1	0.91340666	6.189734399	13.55319307	0.003357747	0.022121046
ENSG00000006715	VPS41	-0.062595964	6.031677833	0.017635785	0.896644618	0.936174071
ENSG00000006740	ARHGAP44	-0.133858443	2.786845637	0.084919006	0.775922604	0.852918081
ENSG00000006744	ELAC2	-0.094443418	5.877260206	0.122907818	0.732232972	0.821063956
ENSG00000006747	SCIN	1.261254026	4.081394405	1.466507391	0.25017153	0.392181783
ENSG00000006756	ARSD	0.937576965	6.328413495	2.395787388	0.148699415	0.27159876
ENSG00000006757	PNPLA4	0.867975601	4.925478229	2.577159226	0.135478416	0.254440094
ENSG00000006788	MYH13	-0.450308415	-2.438169575	0.566818737	0.466642876	0.608017765
ENSG00000006831	ADIPOR2	-0.158632245	7.413420257	0.108447801	0.747832122	0.832252294
ENSG00000006837	CDKL3	-0.047479314	-0.315289632	0.009847412	0.922659351	0.952714657
ENSG00000007001	UPP2	-0.586567439	-2.242311745	0.525653893	0.482916744	0.622561994
ENSG00000007038	PRSS21	0.076844111	-0.187903001	0.003301462	0.955165306	0.972478016
ENSG00000007047	MARK4	1.518867562	5.534058537	16.71346931	0.001635641	0.014397022
ENSG00000007062	PROM1	1.182516499	5.905262796	0.330880204	0.576211294	0.701376584
ENSG00000007080	CCDC124	1.606796362	5.701509392	10.03057437	0.008505119	0.04001695
ENSG00000007129	CEACAM21	-1.821566806	0.331480076	5.18178522	0.042819636	0.114677587
ENSG00000007168	PAFAH1B1	-0.952225082	7.04585912	10.58883018	0.007260892	0.036333595
ENSG00000007171	NOS2	-1.009096191	-0.676176905	1.38956998	0.262267857	0.406250643
ENSG00000007174	DNAH9	-3.363342414	2.005501382	9.667487019	0.009450415	0.042740352
ENSG00000007202	KIAA0100	-0.331752928	7.525722354	0.704170708	0.418470344	0.563974668
ENSG00000007216	SLC13A2	-2.877262212	1.809815995	2.29372304	0.156860486	0.282002146
ENSG00000007237	GAS7	-4.254127294	6.670782086	40.26898836	4.46E-05	0.001702907
ENSG00000007255	TRAPPC6A	2.213311336	4.809308942	50.0100456	1.62E-05	0.00099329
ENSG00000007264	MATK	1.248138082	2.684431709	1.346310598	0.269421228	0.41390828
ENSG00000007306	CEACAM7	3.547243512	-1.309658185	6.987490591	0.022095227	0.073546647
ENSG00000007312	CD79B	-1.853153634	1.981821572	7.243588201	0.020248156	0.069692653
ENSG00000007314	SCN4A	-6.603002663	4.052064762	87.31538778	1.02E-06	0.00024332
ENSG00000007341	ST7L	-0.044285944	3.330639402	0.01603691	0.9014126	0.939446405
ENSG00000007350	TKTL1	-4.488642971	-2.576606223	23.13444976	0.000479104	0.006796029
ENSG00000007372	PAX6	-0.582077774	1.239935506	1.170286676	0.301482219	0.448639654
ENSG00000007376	RPUSD1	2.343901016	4.630924811	38.7349824	5.32E-05	0.001891505
ENSG00000007384	RHBDF1	1.158754463	5.302570975	13.94420049	0.003055993	0.020857744
ENSG00000007392	LUC7L	1.117104286	5.075930347	16.12067438	0.00185912	0.015508351
ENSG00000007402	CACNA2D2	4.020122825	5.092311295	14.15701916	0.00290523	0.020285248
ENSG00000007516	BAIAP3	2.524431262	3.958852957	11.02269887	0.006440854	0.033639651
ENSG00000007520	TSR3	1.205596978	5.304489375	12.0996488	0.00483563	0.027987114
ENSG00000007541	PIGQ	1.976872169	5.946005599	36.22644736	7.19E-05	0.002245094
ENSG00000007545	CRAMP1	-0.070428105	4.071585938	0.072227989	0.792875503	0.865336812
ENSG00000007866	TEAD3	0.83953147	4.736404297	6.5091243	0.026113665	0.082089599
ENSG00000007908	SELE	-3.139207314	3.411708271	8.154423138	0.015011546	0.057269012
ENSG00000007923	DNAJC11	-0.306164929	4.534468319	0.942271933	0.351647635	0.499683206
ENSG00000007933	FMO3	-3.287327153	2.257662551	40.78465934	4.20E-05	0.001655046
ENSG00000007944	MYLIP	-0.408833103	5.894024294	0.837046714	0.379007347	0.527407366
ENSG00000007952	NOX1	1.720275506	0.209457757	9.829665356	0.009013575	0.041462446
ENSG00000007968	E2F2	2.013135801	2.161946927	8.578970835	0.013130014	0.052462764
ENSG00000008018	PSMB1	0.287093017	7.25408126	0.862503625	0.372102266	0.520698881
ENSG00000008056	SYN1	3.762827469	2.29511875	9.094970529	0.011206734	0.047526169
ENSG00000008083	JARID2	0.660862776	4.79267095	3.266823413	0.09687352	0.201040607
ENSG00000008086	CDKL5	-0.430443384	4.139621367	0.356163265	0.562197685	0.6896035
ENSG00000008118	CAMK1G	5.257344991	1.027865774	10.01935568	0.008532601	0.040110869
ENSG00000008128	CDK11A	0.665290593	2.069891405	2.440787205	0.145272427	0.267192768
ENSG00000008130	NADK	-0.672580964	5.936212637	4.561265722	0.05494191	0.136124215
ENSG00000008196	TFAP2B	0.319407742	3.832025714	0.029839755	0.865854003	0.915323667
ENSG00000008197	TFAP2D	8.08403392	-1.901409469	6.854509873	0.032436536	0.095090508
ENSG00000008226	DLEC1	1.089487287	1.350229516	1.92102347	0.192003663	0.325134618
ENSG00000008256	CYTH3	-2.259799561	5.514419251	22.94365013	0.000495129	0.006943883
ENSG00000008277	ADAM22	-1.447014745	3.116412955	8.166981172	0.014951471	0.057144438
ENSG00000008282	SYPL1	-0.811301008	6.933648527	6.060172809	0.030703382	0.091772379
ENSG00000008283	CYB561	2.16983974	7.248451218	37.99274478	5.80E-05	0.001992789
ENSG00000008294	SPAG9	-1.208259229	6.717726664	7.830675141	0.016664055	0.061216345
ENSG00000008300	CELSR3	3.843335143	3.600982982	27.81467895	0.000225712	0.004303617
ENSG00000008311	AASS	-2.831010093	3.892900344	16.66584154	0.001652381	0.014490175
ENSG00000008323	PLEKHG6	-1.699659555	4.373704996	10.05399	0.008448097	0.03985123
ENSG00000008324	SS18L2	1.275207635	4.150465401	8.010787377	0.015719474	0.058986793
ENSG00000008382	MPND	1.121690309	3.950283842	12.25870966	0.004640901	0.027223576
ENSG00000008394	MGST1	-1.422032605	8.546469877	3.375510042	0.092104526	0.194357294
ENSG00000008405	CRY1	-0.81953905	4.3651616	3.827535989	0.075113024	0.168756884
ENSG00000008441	NFIX	-0.115294907	7.779278009	0.037635706	0.849557384	0.903610039
ENSG00000008513	ST3GAL1	0.550367497	6.724669809	1.230625202	0.289921307	0.436620325
ENSG00000008516	MMP25	0.376938982	1.649262798	0.20549508	0.658747058	0.767410527
ENSG00000008517	IL32	-0.492181375	4.568579076	0.994520279	0.33914012	0.487287278
ENSG00000008710	PKD1	-0.803556533	5.999843969	3.653219606	0.081168759	0.178011138
ENSG00000008735	MAPK8IP2	4.927438108	5.40550688	16.19959546	0.001827381	0.015337559
ENSG00000008838	MED24	0.300590231	5.832267729	0.906358795	0.360643483	0.508694741
ENSG00000008853	RHOBTB2	-0.314525965	4.22853097	0.892022684	0.364330417	0.512491867
ENSG00000008869	HEATR5B	-0.042749461	5.617362835	0.016328701	0.900524986	0.938837928
ENSG00000008952	SEC62	-0.456585425	7.749028857	2.374453948	0.150359852	0.273557567
ENSG00000008988	RPS20	-0.251144616	9.926862579	0.336338394	0.57312591	0.69888233
ENSG00000009307	CSDE1	-1.113423538	9.617434428	14.41896067	0.00273154	0.019536395
ENSG00000009335	UBE3C	-0.368699055	6.435883193	2.5646624	0.136340576	0.255632117
ENSG00000009413	REV3L	-2.496385871	5.438534553	24.18826755	0.000400838	0.006133683
ENSG00000009694	TENM1	-5.575425529	2.045250703	43.37455574	3.17E-05	0.001421363
ENSG00000009724	MASP2	-2.261017902	0.255226104	13.65223516	0.00327811	0.021825252
ENSG00000009765	IYD	0.272706884	-2.983120449	0.045342784	0.8350989	0.893806341
ENSG00000009780	FAM76A	-1.029649526	4.053351665	9.625876985	0.009566506	0.043052896
ENSG00000009790	TRAF3IP3	-1.074388255	1.467368825	3.567765587	0.08435533	0.182857958
ENSG00000009830	POMT2	0.031843288	4.366140821	0.007346349	0.933168846	0.959160246
ENSG00000009844	VTA1	0.155102812	5.471442886	0.369797551	0.554922188	0.683504039
ENSG00000009950	MLXIPL	-6.548809564	4.934344278	32.51991455	0.00011571	0.002918955
ENSG00000009954	BAZ1B	-0.322003012	6.698531015	1.496599646	0.245645895	0.387556721
ENSG00000010017	RANBP9	0.847199836	6.24501444	3.709188265	0.079161418	0.174990259
ENSG00000010030	ETV7	1.968867054	1.474437074	8.940297951	0.011745896	0.048883569
ENSG00000010072	SPRTN	0.656610389	3.696959645	2.749790317	0.124240303	0.238700869
ENSG00000010165	METTL13	0.396529886	5.340520039	2.054101806	0.178391335	0.308895984
ENSG00000010219	DYRK4	1.309746116	4.189867376	5.765812099	0.034240185	0.098597928
ENSG00000010244	ZNF207	0.326909076	6.888500624	1.503173894	0.244671904	0.386575041
ENSG00000010256	UQCRC1	0.696412316	7.136523795	3.890246031	0.07307039	0.165703513
ENSG00000010270	STARD3NL	-0.003146303	4.959575506	5.20E-05	0.994370876	0.996264685
ENSG00000010278	CD9	1.690721017	7.973043658	8.100845277	0.015271092	0.057946247
ENSG00000010282	HHATL	-4.118801223	-2.017381067	14.66320803	0.002580515	0.018815463
ENSG00000010292	NCAPD2	0.57591779	5.989082121	3.118828337	0.103867836	0.211160356
ENSG00000010295	IFFO1	-2.457945075	3.364597041	29.47859506	0.000176609	0.003730564
ENSG00000010310	GIPR	1.710500342	1.239506186	6.512139445	0.02608573	0.082057995
ENSG00000010318	PHF7	-0.21193848	2.643905063	0.088674591	0.771174333	0.849492623
ENSG00000010319	SEMA3G	-5.010831262	6.969813218	69.43624147	3.27E-06	0.000466347
ENSG00000010322	NISCH	-0.479098676	6.432110808	1.96923223	0.186922012	0.319064325
ENSG00000010327	STAB1	-2.933424725	6.734704733	20.9462997	0.000707103	0.008698175
ENSG00000010361	FUZ	1.021808288	4.401556108	10.30592184	0.007862337	0.038174382
ENSG00000010379	SLC6A13	0.587639955	-2.993889772	0.278708919	0.6075745	0.726099836
ENSG00000010404	IDS	-0.700527247	6.656148604	6.21662286	0.029002015	0.088125208
ENSG00000010438	PRSS3	-0.368100455	-2.468899431	0.147081186	0.708328596	0.803699901
ENSG00000010539	ZNF200	0.111928202	3.201681794	0.120789819	0.734450678	0.822767115
ENSG00000010610	CD4	-2.390309808	5.901782227	33.89101911	9.66E-05	0.002620137
ENSG00000010626	LRRC23	1.232137935	3.431500909	9.333976304	0.010430154	0.04539713
ENSG00000010671	BTK	-2.279508043	2.940957481	17.6825553	0.00133476	0.012667142
ENSG00000010704	HFE	-0.100561349	4.440735143	0.022577641	0.883161024	0.926989146
ENSG00000010803	SCMH1	-0.45725968	5.453182098	1.527907599	0.241053757	0.38256975
ENSG00000010810	FYN	-3.322116906	5.922932974	78.49669549	1.76E-06	0.000351409
ENSG00000010818	HIVEP2	-1.536067031	5.34704786	6.826358477	0.023360506	0.076380389
ENSG00000010932	FMO1	-3.084377243	2.648072843	14.52493074	0.00266477	0.019250374
ENSG00000011007	ELOA	-0.473521966	5.888054613	3.182691388	0.100775569	0.206640897
ENSG00000011009	LYPLA2	1.650810952	5.797877381	19.14447996	0.000995325	0.01065342
ENSG00000011021	CLCN6	-1.489530193	4.444693113	20.60056713	0.000753853	0.009034913
ENSG00000011028	MRC2	-1.794188005	6.91439077	16.29373831	0.001790351	0.015169982
ENSG00000011052	NME1-NME2	2.834800098	0.434737835	13.0966581	0.003755683	0.023734964
ENSG00000011105	TSPAN9	0.312496088	6.19999118	1.116740018	0.312293238	0.459883877
ENSG00000011114	BTBD7	-0.765902069	5.40394821	5.883758148	0.032767321	0.095651951
ENSG00000011132	APBA3	0.654132596	3.221109338	4.530162053	0.05565199	0.137338602
ENSG00000011143	MKS1	0.647793117	3.843091367	3.986398214	0.070068351	0.161032905
ENSG00000011198	ABHD5	-1.054160254	5.408211034	3.871114695	0.073686283	0.16665691
ENSG00000011201	ANOS1	-0.527113839	4.863113836	0.329828652	0.576809654	0.701885855
ENSG00000011243	AKAP8L	1.365151387	5.261947748	28.67313327	0.000198617	0.004002279
ENSG00000011258	MBTD1	-0.23375767	4.676591251	0.312552218	0.58682919	0.709344506
ENSG00000011260	UTP18	0.846491271	5.144582327	3.871514687	0.073673341	0.16665691
ENSG00000011275	RNF216	-0.15529858	5.558547593	0.413746211	0.532677547	0.665285686
ENSG00000011295	TTC19	0.235616168	5.589685239	0.550206164	0.47309515	0.613836985
ENSG00000011304	PTBP1	0.932877863	7.623143807	16.00974983	0.001904835	0.015751519
ENSG00000011332	DPF1	2.523920299	-0.879967789	11.49251274	0.005673318	0.030999509
ENSG00000011347	SYT7	3.634988005	7.217385071	17.07713891	0.001514198	0.013693693
ENSG00000011376	LARS2	0.230820517	4.193952787	0.411130959	0.533953072	0.666396936
ENSG00000011405	PIK3C2A	-0.761421984	6.161363461	2.619620586	0.132599745	0.250288472
ENSG00000011422	PLAUR	0.520777243	4.251372013	0.759351028	0.401339176	0.547663289
ENSG00000011426	ANLN	1.68458158	4.012430974	4.729532902	0.051285002	0.12979151
ENSG00000011451	WIZ	0.686892863	5.958439092	5.614356663	0.036249637	0.102607015
ENSG00000011454	RABGAP1	-0.709159001	5.962558887	7.638888118	0.017745026	0.063914158
ENSG00000011465	DCN	-5.010681823	11.08279509	75.67668326	2.12E-06	0.000377276
ENSG00000011478	QPCTL	1.753913878	3.60338181	15.45821584	0.002152788	0.01692813
ENSG00000011485	PPP5C	1.076959494	5.54087762	22.33663805	0.00055047	0.007421139
ENSG00000011523	CEP68	-1.510800326	5.830797034	48.7154459	1.84E-05	0.001046541
ENSG00000011566	MAP4K3	-0.297803806	5.211022725	1.495820373	0.245761692	0.387603358
ENSG00000011590	ZBTB32	1.724724938	-1.477645972	4.776563441	0.050315966	0.128130473
ENSG00000011600	TYROBP	-1.695243277	5.561094428	10.67541122	0.007087817	0.035767101
ENSG00000011638	TMEM159	-0.268455577	5.644642768	0.627328602	0.444351449	0.587540179
ENSG00000011677	GABRA3	3.414664686	-1.480103871	4.359788159	0.059744767	0.144221057
ENSG00000012048	BRCA1	0.818391822	3.774349606	3.765746713	0.077194268	0.171963986
ENSG00000012061	ERCC1	0.828977361	5.791715133	8.843005405	0.012100812	0.049918219
